tecnico,,tempo
Marcelo Cabo,378,62
Marcelo Cabo,701,72
Marcelo Cabo,738,71
Marcelo Cabo,747,66
Marcão,166,73
Marcão,175,80
Marcão,177,69
Marcão,191,83
Marcão,210,72
Marcão,229,61
Marcão,234,74
Marcão,266,71
Marcão,293,74
Marcão,315,71
Marcão,334,88
Marcão,340,82
Marcão,372,84
Marcão,561,66
Marcão,582,76
Marcão,628,76
Marcão,635,74
Marcão,655,69
Marcão,661,55
Marcão,680,68
Marcão,705,64
Marcão,726,68
Marcão,740,74
Marquinhos Santos,17,82
Marquinhos Santos,31,69
Marquinhos Santos,44,76
Marquinhos Santos,56,83
Marquinhos Santos,71,75
Marquinhos Santos,102,74
Marquinhos Santos,125,79
Marquinhos Santos,141,81
Marquinhos Santos,159,70
Marquinhos Santos,172,88
Marquinhos Santos,184,76
Marquinhos Santos,209,87
Marquinhos Santos,237,86
Marquinhos Santos,280,89
Marquinhos Santos,310,85
Marquinhos Santos,321,63
Marquinhos Santos,352,77
Marquinhos Santos,377,75
Marquinhos Santos,380,88
Marquinhos Santos,399,89
Marquinhos Santos,430,69
Marquinhos Santos,464,64
Marquinhos Santos,468,83
Marquinhos Santos,493,66
Marquinhos Santos,526,67
Marquinhos Santos,557,59
Marquinhos Santos,562,84
Marquinhos Santos,574,76
Marquinhos Santos,600,85
Marquinhos Santos,604,45
Marquinhos Santos,624,45
Marquinhos Santos,638,60
Marquinhos Santos,644,60
Marquinhos Santos,676,73
Marquinhos Santos,686,69
Marquinhos Santos,714,72
Marquinhos Santos,724,75
Marquinhos Santos,743,74
Maurício Barbieri,11,[]
Maurício Barbieri,24,62
Maurício Barbieri,47,71
Maurício Barbieri,73,89
Maurício Barbieri,87,79
Maurício Barbieri,114,72
Maurício Barbieri,129,84
Maurício Barbieri,146,62
Maurício Barbieri,174,74
Maurício Barbieri,185,67
Maurício Barbieri,216,75
Maurício Barbieri,227,[]
Maurício Barbieri,242,63
Maurício Barbieri,270,64
Maurício Barbieri,276,87
Maurício Barbieri,295,[]
Maurício Barbieri,311,79
Maurício Barbieri,344,80
Maurício Barbieri,379,77
Maurício Barbieri,386,79
Maurício Barbieri,410,[]
Maurício Barbieri,417,82
Maurício Barbieri,445,83
Maurício Barbieri,463,66
Maurício Barbieri,478,73
Maurício Barbieri,500,78
Maurício Barbieri,516,73
Maurício Barbieri,545,63
Maurício Barbieri,576,76
Maurício Barbieri,590,72
Maurício Barbieri,618,88
Maurício Barbieri,636,60
Maurício Barbieri,643,78
Maurício Barbieri,665,69
Maurício Barbieri,683,84
Maurício Barbieri,699,59
Maurício Barbieri,730,71
Maurício Barbieri,741,89
Maurício Ferreira De Souza,351,45
Maurício Ferreira De Souza,368,85
Maurício Ferreira De Souza,737,74
Maurício Ferreira De Souza,758,85
Miguel Ángel Ramírez,9,77
Miguel Ángel Ramírez,394,57
Mozart Batista,6,64
Osmar Loss Vieira,29,66
Osmar Loss Vieira,40,80
Osmar Loss Vieira,405,71
Paulo Autuori,7,77
Paulo Autuori,194,72
Paulo Autuori,599,77
Pintado,155,45
Pintado,181,54
Pintado,193,45
Pintado,218,65
Pintado,226,73
Pintado,246,89
Pintado,252,70
Pintado,525,73
Pintado,537,68
Pintado,547,69
Pintado,565,67
Pintado,584,69
Pintado,619,66
Pintado,651,69
Renato Gaúcho,104,87
Renato Gaúcho,121,80
Renato Gaúcho,143,71
Renato Gaúcho,150,76
Renato Gaúcho,201,77
Renato Gaúcho,219,80
Renato Gaúcho,244,73
Renato Gaúcho,260,73
Renato Gaúcho,278,87
Renato Gaúcho,290,86
Renato Gaúcho,308,65
Renato Gaúcho,326,45
Renato Gaúcho,492,63
Renato Gaúcho,510,73
Renato Gaúcho,542,82
Renato Gaúcho,548,80
Renato Gaúcho,569,73
Renato Gaúcho,587,73
Renato Gaúcho,607,[]
Renato Gaúcho,616,73
Renato Gaúcho,646,84
Renato Gaúcho,667,82
Renato Gaúcho,679,[]
Renato Gaúcho,694,65
Renato Gaúcho,712,78
Renato Gaúcho,717,69
Roger Machado,13,81
Roger Machado,34,84
Roger Machado,57,80
Roger Machado,67,76
Roger Machado,93,76
Roger Machado,109,69
Roger Machado,382,84
Roger Machado,404,79
Roger Machado,421,73
Roger Machado,429,68
Roger Machado,461,70
Roger Machado,480,74
Roger Machado,498,70
Roger Machado,522,75
Roger Machado,534,80
Rogério Ceni,5,86
Rogério Ceni,21,84
Rogério Ceni,37,[]
Rogério Ceni,48,81
Rogério Ceni,81,78
Rogério Ceni,251,78
Rogério Ceni,261,80
Rogério Ceni,283,63
Rogério Ceni,314,69
Rogério Ceni,339,59
Rogério Ceni,345,82
Rogério Ceni,365,82
Rogério Ceni,436,69
Rogério Ceni,455,76
Rogério Ceni,470,73
Rogério Ceni,650,57
Rogério Ceni,677,64
Rogério Ceni,685,70
Rogério Ceni,704,77
Rogério Ceni,735,69
Rogério Ceni,757,65
Sylvinho,8,72
Sylvinho,30,72
Sylvinho,51,82
Sylvinho,72,89
Sylvinho,78,70
Sylvinho,108,87
Sylvinho,130,55
Sylvinho,149,75
Sylvinho,182,[]
Sylvinho,200,87
Sylvinho,205,72
Sylvinho,222,80
Sylvinho,248,83
Sylvinho,286,81
Sylvinho,291,74
Sylvinho,313,78
Sylvinho,333,88
Sylvinho,347,81
Sylvinho,362,88
Sylvinho,395,84
Sylvinho,400,87
Sylvinho,419,80
Sylvinho,437,79
Sylvinho,475,89
Sylvinho,485,71
Sylvinho,506,67
Sylvinho,520,89
Sylvinho,541,73
Sylvinho,549,88
Sylvinho,570,77
Sylvinho,596,83
Sylvinho,612,84
Sylvinho,641,80
Sylvinho,649,79
Sylvinho,682,68
Sylvinho,706,45
Sylvinho,722,68
Sylvinho,751,67
Thiago Gomes Pacheco,471,45
Thiago Gomes Pacheco,627,68
Tiago Nunes,23,72
Tiago Nunes,54,88
Tiago Nunes,58,86
Tiago Nunes,85,77
Tiago Nunes,197,79
Tiago Nunes,204,72
Tiago Nunes,223,67
Tiago Nunes,256,72
Tiago Nunes,262,78
Tiago Nunes,281,59
Tiago Nunes,298,87
Tiago Nunes,316,65
Tiago Nunes,342,63
Tiago Nunes,363,14
Tiago Nunes,384,45
Tiago Nunes,416,62
Tiago Nunes,451,77
Tiago Nunes,567,62
Tiago Nunes,613,69
Tiago Nunes,631,63
Tiago Nunes,645,59
Tiago Nunes,654,86
Tiago Nunes,681,72
Tiago Nunes,703,65
Tiago Nunes,711,64
Tiago Nunes,731,82
Tiago Nunes,756,76
Umberto Lourenço Louzer Filho ,18,45
Umberto Lourenço Louzer Filho ,36,67
Umberto Lourenço Louzer Filho ,64,77
Umberto Lourenço Louzer Filho ,80,72
Umberto Lourenço Louzer Filho ,100,75
Umberto Lourenço Louzer Filho ,124,80
Umberto Lourenço Louzer Filho ,136,82
Umberto Lourenço Louzer Filho ,164,76
